"id","createdAt","updatedAt","data","uname"
2,"2023-02-15 01:06:23.309","2023-02-15 01:06:23.309","{""name"": ""Nouns"", ""pfpUrl"": ""https://i.seadn.io/gae/vfYB4RarIqixy2-wyfP4lIdK6fsOT8uNrmKxvYCJdjdRwAMj2ZjC2zTSxL-YKky0s-4Pb6eML7ze3Ouj54HrpUlfSWx52xF_ZK2TYw?auto=format&w=384""}","nouns"
3,"2023-02-22 06:28:04.451","2023-02-15 01:06:23.309","{""name"": ""Lil Nouns"", ""pfpUrl"": ""https://i.seadn.io/gae/NeMen42xORQc--X_rAm6d5HCcRxkL5ZqAFi8LCSdFoRLi3AVNvEJ4Eo_-kFMnk8TVtPsnFxrMZ-DQIy-qjHgZnw4UFZYhjOWTmI_0w?auto=format&w=384""}","lilnouns"
