"id","body","ideaId","authorId","createdAt","updatedAt","parentId","deleted"
28,"I personally like the idea and think it can feed into real life activations... like a trance when the nounga song gets played and all lils line up! ",6,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:48:31.363","2022-08-03 13:48:31.364",,FALSE
29,"its whimsical i like whimsical. ",6,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:48:47.935","2022-08-03 13:48:47.936",28,FALSE
30,"Removing the 2 days is a good bet if we decide to do this. Not opposed to having two days per week for pros but I do think having a weekly ritual is a powerful thing. If we do find that doing once per week is slowing down the DAO, we can also always add the second date- Core thing here being, lets confirm that the once a day increases engagement and slow the DAO down before we make too many changes at once.",13,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-03 16:23:35.649","2022-08-03 16:23:35.65",23,FALSE
31,"Thank you for the support Volky! Looking forward to meeting and aligning with everyone on this over the next few weeks!v ",12,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-03 16:59:30.392","2022-08-03 16:59:30.392",16,FALSE
32,"u da man",12,"0xE85621Ca863cD77400E0D14Ec1d9ed91352BB716","2022-08-03 18:41:44.902","2022-08-03 18:41:44.903",6,FALSE
158,"this is a good idea",66,"0xD0C9a1F382Dddc6b9AaAF18E130466cFfEE985b9","2022-09-20 09:00:36.005","2022-09-20 09:00:36.005",,FALSE
33,"Yeah, the core is to introduce changes we know will impact engagement, while recognizing nothing will be a silver bullet. Doesn't mean we should make changes that we know will help ",13,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-03 23:00:48.652","2022-08-03 23:00:48.653",26,FALSE
34,"Shouldn't* - (feature request to expand comment box as we type please)",13,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-03 23:01:19.544","2022-08-03 23:01:19.545",33,FALSE
35,"While i was originally against the idea of the comic, since it is already going to happen; some of my favorite material growing up were the short films as well as comic insert material within a larger comic production.  Participating in this should it be offered, as it appears to be, makes a LOT of sense. ... Pricing dependent of course ;)",17,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-04 03:45:15.089","2022-08-04 03:45:15.089",,FALSE
36,"this could be a good start to a marketing production pod. self generated original material. catalogued on tenor. and our own database",14,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-04 04:05:41.351","2022-08-04 04:05:41.351",27,FALSE
37,"Down to collab too! I've been working on a MVP version of ideabox for Nouns as an example but didn't know where to send it before, here is a demo: https://app.twocents.so/sandboxdao to help Nouns. Would be great to set up a call and collab maybe merge code bases and get a grant for it too :)",7,"0xAcb55BbF310C89670564f4cd9D12eaFB6F84788A","2022-08-04 16:21:04.439","2022-08-04 16:21:04.44",,FALSE
38,"I agree with that. Delegation is super important",9,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-04 19:25:00.355","2022-08-04 19:25:00.356",,FALSE
39,"Absolutely love this idea. I'm doing a ton of work in my IRL job on this specifically! We should connect - I have several insights that could be helpful for this.",19,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:22:44.146","2022-08-04 21:22:44.146",,FALSE
40,"I really like this idea too!",19,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-04 21:27:08.975","2022-08-04 21:27:08.975",,FALSE
41,"I think it would be cool if you showed voting history per noun and the comment they left when voting as well",19,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-04 21:27:29.327","2022-08-04 21:27:29.327",40,FALSE
42,"Test to see if you can do return spaces...  This is a new line.",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:42:06.376","2022-08-04 21:42:06.376",,FALSE
43,"interesting",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:44:01.587","2022-08-04 21:44:01.588",42,FALSE
44,"what happens if I comment twice",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:44:18.987","2022-08-04 21:44:18.987",43,FALSE
45,"nesting checks out",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:44:39.211","2022-08-04 21:44:39.211",42,FALSE
46,"This is great! I would be happy to lead some usability testing on this too - so we can get some actionable data on how we can improve the product. ",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:45:13.28","2022-08-04 21:45:13.28",,FALSE
47,"I do this with small product teams full of engineers at work. We call it ""mob usability testing"".  Basically, you have a dev team of ~3-5ish ppl hop on a zoom call with one user to do the ""usability test"" on. One person (usually PM or UXer) drives the questions/walkthrough while everyone else mute's mic's and turns off cameras. While walking through the product, the rest of the team writes out notes/observations on stickies on some sort of board (we use Miro). After the a couple of interviews, we synthesize feedback to expose pain area's, generate solutions, and do a group prioritization exercise.",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:45:31.173","2022-08-04 21:45:31.174",46,FALSE
48,"If anyone is interested in this, just lmk. I'm in the discord - usually reading the LilNounsDAO channels.",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:45:49.853","2022-08-04 21:45:49.854",46,FALSE
49,"btw, add these too the feature/bug board - if you don't already have them: [user can see their full text as they type into the comment box (it stays in one line)] [user can see who authored idea when they open it up to comment]",7,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:46:07.113","2022-08-04 21:46:07.113",46,FALSE
50,"the more voting history included - the stronger the identity signal should be ❤️",19,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2","2022-08-04 21:47:30.657","2022-08-04 21:47:30.657",40,FALSE
51,"I appreciate you noticing. That is wonderful to hear!",19,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-05 03:22:17.534","2022-08-05 03:22:17.535",39,FALSE
52,"I'm currently investigating possible sources for gathering information. Voting and proposals are now the main categories of data. I'm also considering gathering data regarding transferring ownerships of Lil Nouns through marketplaces and on-chain data.",19,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-05 03:35:10.246","2022-08-05 03:35:10.247",,FALSE
53,"Thank you. It's good to hear that.",19,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-05 03:44:20.406","2022-08-05 03:44:20.407",40,FALSE
54,"This sounds fun but it feels like this could be gamed pretty easily? I'd lower the prize massively to reduce risk ",20,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2022-08-05 16:24:11.014","2022-08-05 16:24:11.015",,FALSE
55,"add a poap for each vote! https://docs.snapshot.org/plugins/poap",13,"0x14fC0bE8e90aB768226cCCf952506Ce00Bde5029","2022-08-05 19:28:50.813","2022-08-05 19:28:50.813",,FALSE
56,"idk why you are getting downvoted, I like this idea",8,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-05 21:44:55.017","2022-08-05 21:44:55.018",,FALSE
57,"Yes security was a big concern from the start, but my friend & I have figured out a way to make sure the answers will not be public",20,"0x6C4cb3C4Da1CdC4B7B1F41099F6eacbd82D8F2d2","2022-08-05 22:17:17.23","2022-08-05 22:17:17.231",54,FALSE
58,"thanks brent! Great feedback",7,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-06 03:34:53.244","2022-08-06 03:34:53.244",49,FALSE
59,"I would love to contribute to the idea board, as product management / design! This can be a future of DAO contribution !",7,"0x568b9bFfF4a3a7C7351db84EC2F4Ad4CA147A1D0","2022-08-07 12:13:30.78","2022-08-07 12:13:30.781",,FALSE
60,"I would love to be apart with my projection's I am wanting to continue to go bigger with my projections and make more of an impact each time!",11,"0xf9d71b5fB8345F2508C1302a74d4362DEAb7D104","2022-08-07 17:12:55.031","2022-08-07 17:12:55.032",,FALSE
61,"Great idea!",11,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-09 04:56:15.169","2022-08-09 04:56:15.169",,FALSE
62,"👍",21,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-09 04:59:06.097","2022-08-09 04:59:06.098",,FALSE
63,"Does giving lower number lil nouns a multiplier set a precedent that newer lil nouns, including the one currently at auction is less valuable then older ones? ",22,"0x3B60e31CFC48a9074CD5bEbb26C9EAa77650a43F","2022-08-10 03:02:58.835","2022-08-10 03:02:58.836",,FALSE
64,"Good one!",13,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-10 04:21:06.471","2022-08-10 04:21:06.471",,FALSE
65,"Do it!",14,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-10 04:21:47.937","2022-08-10 04:21:47.938",,FALSE
66,"It does set that precedent. From my understanding, the market already values low numbers more than higher numbers in both nouns and lil nouns, however we are not factoring this into any of our voting. On-chain would require a protocol change which would be bad, but with prophouse there is more room for experimentation.  ",22,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-08-10 05:54:09.025","2022-08-10 05:54:09.026",63,FALSE
67,"I love it. The low numbers are early reward them. In a system with no trait rarity the only rarity is the number.",22,"0xEFCBdc96bFBa90c2406b805b665Ba89e8A8dEdd8","2022-08-10 13:30:37.284","2022-08-10 13:30:37.285",,FALSE
159,"brooks got this drafted now!",75,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-09-20 18:55:24.118","2022-09-20 18:55:24.119",,FALSE
68,"wallets that hold low number lil Nouns and wallets that hold large numbers of lil Nouns === ""wallets that hold lil nouns?""",22,"0x8d028DC71B347268d439432349B55Bc27989851E","2022-08-11 01:19:46.142","2022-08-11 01:19:46.142",,FALSE
69,"wallets that hold low number lil Nouns and wallets that hold large numbers of lil Nouns === ""wallets that hold lil nouns?""",22,"0x8d028DC71B347268d439432349B55Bc27989851E","2022-08-11 01:19:53.81","2022-08-11 01:19:53.811",,FALSE
70,"Let’s start bidding via auction. And define our budget strategy between noun acquisition and funding builders/contributors ",27,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-08-11 21:40:27.241","2022-08-11 21:40:27.242",,FALSE
71,"I would love to have access to designs to wear around events that proliferate the Lil Nouns culture! Im heading to an event next weekend and we as Lil Nouns would benefit greatly if i was dressed the part while i walk around and tell everyone about Lil nouns and the community! ",11,"0xf9d71b5fB8345F2508C1302a74d4362DEAb7D104","2022-08-12 18:12:35.558","2022-08-12 18:12:35.558",10,FALSE
72,"Imho should be via bids, not secondary or OTC",27,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-13 04:03:35.185","2022-08-13 04:03:35.185",,FALSE
73,"And it also should be aligned to the growth of treasury (see datapod team work)",27,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-08-13 04:03:58.871","2022-08-13 04:03:58.872",,FALSE
74,"Loving this idea. Would be cool to highlight if the Lil Noun was delegated to someone too.",19,"0x3B60e31CFC48a9074CD5bEbb26C9EAa77650a43F","2022-08-16 10:53:19.013","2022-08-16 10:53:19.014",,FALSE
75,"Would love some elaboration here, what is the goal of buying more nouns?",27,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-16 20:18:28.708","2022-08-16 20:18:28.709",,FALSE
76,"i like this idea!",19,"0x34217dAd60fc18c991Cf40032197eb28aDBca7Fb","2022-08-17 09:19:40.701","2022-08-17 09:19:40.702",,FALSE
77,"i like this idea!",19,"0x34217dAd60fc18c991Cf40032197eb28aDBca7Fb","2022-08-17 09:19:44.867","2022-08-17 09:19:44.867",,FALSE
78,"I'm waiting for your comments🙏🏼⌐◨-◨ ",31,"0x8F4C87E30371Ee250C5ECa1fCFf33F534F2ece4a","2022-08-17 14:11:36.02","2022-08-17 14:11:36.021",,FALSE
