"A","B"
94,2
94,5
96,4
97,3
100,4
101,3
101,5
104,6
107,5
109,6
112,6
115,6
116,3
117,6
118,1
118,5
119,3
119,4
120,6
121,6
124,6
125,3
125,4
127,4
128,6
129,1
129,2
129,3
129,4
129,5
129,6
130,1
130,2
130,5
132,6
136,6
137,6
138,3
138,4
139,4
140,3
140,4
140,5
141,3
142,6
143,1
143,3
143,5
144,1
144,2
145,1
145,2
146,6
147,3
148,3
149,3
150,6
151,4
153,3
153,5
154,3
154,5
156,3
160,1
160,3
160,4
161,1
162,1
162,5
163,1
163,5
165,6
168,3
169,3
170,2
171,6
174,1
174,6
179,6
