"id","wallet","ens","lilnounCount"
23,"0x8d028DC71B347268d439432349B55Bc27989851E",,6
65,"0x8F4C87E30371Ee250C5ECa1fCFf33F534F2ece4a",,5
12,"0x1d14d9e297DfbcE003f5A8EbcF8cBa7fAEe70B91",,7
6,"0x00b0Be47fB30cc2497A3EE4160f113f35C456c6F",,1
4,"0x565B93a15d38aCD79c120b15432D21E21eD274d6",,9
9,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183",,37
29,"0x1db19B9903c5510AA5a866ea643Eb021CD12Bda0",,2
11,"0x2E2F6db34fFC3c7C99371886AB3410F8431f8691",,3
42,"0xAcb55BbF310C89670564f4cd9D12eaFB6F84788A",,1
13,"0x625D6405DCac9C82F4b681A131d9182115448F75",,1
57,"0x94CA777cB86d006360FF9bE0661fF112cc3fD945",,1
66,"0x6980826F2989783ffEe9176b381aa1Cc36FD0f57",,1
92,"0x9239b0284c45398e6b48d4DA7d9570Ca65133d19",,1
43,"0x172F19C6066441f6806556FCF5a97B1a86042bE2",,1
60,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9",,3
45,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2",,1
17,"0x5090c4Fead5Be112b643BC75d61bF42339675448",,1
18,"0x3CEb1AE4796f6A9BcD825841a6C86e1cE17B46A4",,1
82,"0x711E207B2fa8daceBb4D7cb9E4b0f77D98FAfA22",,1
1,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63",,6
19,"0x174d123cE1EF00EEBF1026fbF061a7a58A928Def",,14
71,"0x34217dAd60fc18c991Cf40032197eb28aDBca7Fb",,1
26,"0xd6CB70a88bB0D8fB1be377bD3E48e603528AdB54",,2
72,"0xe05cb1A2CD350906F32B3635613Ecf9D6A17B96b",,1
59,"0x6cC34D9Fb4AE289256fc1896308D387Aee2bCc52",,1
15,"0x840b490438d9cA67A3daD2Cc9EC678232f19cd29",,24
27,"0xEFCBdc96bFBa90c2406b805b665Ba89e8A8dEdd8",,1
28,"0x8216D02B21710a47367F0548bF68D86cC71d0b67",,44
67,"0x0Ff4bCaF4D736EDB8EBa11dD66A4921e9f8b8B50",,4
46,"0x6C4cb3C4Da1CdC4B7B1F41099F6eacbd82D8F2d2",,1
